,class_index,class_name
n02119789,278,kit_fox
n02100735,212,english_setter
n02110185,250,siberian_husky
n02096294,193,australian_terrier
n02102040,217,english_springer
n02066245,147,grey_whale
n02509815,387,lesser_panda
n02124075,285,egyptian_cat
n02417914,350,ibex
n02123394,283,persian_cat
n02125311,286,cougar
n02423022,353,gazelle
n02346627,334,porcupine
n02077923,150,sea_lion
n02110063,249,malamute
n02447366,362,badger
n02109047,246,great_dane
n02089867,166,walker_hound
n02102177,218,welsh_springer_spaniel
n02091134,172,whippet
n02092002,177,scottish_deerhound
n02071294,148,killer_whale
n02442845,357,mink
n02504458,386,african_elephant
n02092339,178,weimaraner
n02098105,202,soft-coated_wheaten_terrier
n02096437,194,dandie_dinmont
n02114712,271,red_wolf
n02105641,229,old_english_sheepdog
n02128925,290,jaguar
n02091635,175,otterhound
n02088466,163,bloodhound
n02096051,191,airedale
n02117135,276,hyena
n02138441,299,meerkat
n02097130,197,giant_schnauzer
n02493509,380,titi
n02457408,364,three-toed_sloth
n02389026,339,sorrel
n02443484,359,black-footed_ferret
n02110341,251,dalmatian
n02089078,165,black-and-tan_coonhound
n02086910,157,papillon
n02445715,361,skunk
n02093256,179,staffordshire_bullterrier
n02113978,268,mexican_hairless
n02106382,233,bouvier_des_flandres
n02441942,356,weasel
n02113712,266,miniature_poodle
n02113186,264,cardigan
n02105162,225,malinois
n02415577,349,bighorn
n02356798,335,fox_squirrel
n02488702,375,colobus
n02123159,282,tiger_cat
n02098413,204,lhasa
n02422699,352,impala
n02114855,272,coyote
n02094433,187,yorkshire_terrier
n02111277,256,newfoundland
n02132136,294,brown_bear
n02119022,277,red_fox
n02091467,174,norwegian_elkhound
n02106550,234,rottweiler
n02422106,351,hartebeest
n02091831,176,saluki
n02120505,280,grey_fox
n02104365,223,schipperke
n02086079,154,pekinese
n02112706,262,brabancon_griffon
n02098286,203,west_highland_white_terrier
n02095889,190,sealyham_terrier
n02484975,370,guenon
n02137549,298,mongoose
n02500267,384,indri
n02129604,292,tiger
n02090721,170,irish_wolfhound
n02396427,342,wild_boar
n02108000,241,entlebucher
n02391049,340,zebra
n02412080,348,ram
n02108915,245,french_bulldog
n02480495,365,orangutan
n02110806,253,basenji
n02128385,288,leopard
n02107683,239,bernese_mountain_dog
n02085936,153,maltese_dog
n02094114,185,norfolk_terrier
n02087046,158,toy_terrier
n02100583,211,vizsla
n02096177,192,cairn
n02494079,382,squirrel_monkey
n02105056,224,groenendael
n02101556,216,clumber
n02123597,284,siamese_cat
n02481823,367,chimpanzee
n02105505,228,komondor
n02088094,160,afghan_hound
n02085782,152,japanese_spaniel
n02489166,376,proboscis_monkey
n02364673,338,guinea_pig
n02114548,270,white_wolf
n02134084,296,ice_bear
n02480855,366,gorilla
n02090622,169,borzoi
n02113624,265,toy_poodle
n02093859,183,kerry_blue_terrier
n02403003,345,ox
n02097298,199,scotch_terrier
n02108551,244,tibetan_mastiff
n02493793,381,spider_monkey
n02107142,236,doberman
n02096585,195,boston_bull
n02107574,238,greater_swiss_mountain_dog
n02107908,240,appenzeller
n02086240,155,shih-tzu
n02102973,221,irish_water_spaniel
n02112018,259,pomeranian
n02093647,181,bedlington_terrier
n02397096,343,warthog
n02437312,354,arabian_camel
n02483708,369,siamang
n02097047,196,miniature_schnauzer
n02106030,231,collie
n02099601,207,golden_retriever
n02093991,184,irish_terrier
n02110627,252,affenpinscher
n02106166,232,border_collie
n02326432,331,hare
n02108089,242,boxer
n02097658,201,silky_terrier
n02088364,162,beagle
n02111129,255,leonberg
n02100236,210,german_short-haired_pointer
n02486261,371,patas
n02115913,274,dhole
n02486410,372,baboon
n02487347,373,macaque
n02099849,209,chesapeake_bay_retriever
n02108422,243,bull_mastiff
n02104029,222,kuvasz
n02492035,378,capuchin
n02110958,254,pug
n02099429,206,curly-coated_retriever
n02094258,186,norwich_terrier
n02099267,205,flat-coated_retriever
n02395406,341,hog
n02112350,261,keeshond
n02109961,248,eskimo_dog
n02101388,215,brittany_spaniel
n02113799,267,standard_poodle
n02095570,189,lakeland_terrier
n02128757,289,snow_leopard
n02101006,214,gordon_setter
n02115641,273,dingo
n02097209,198,standard_schnauzer
n02342885,333,hamster
n02097474,200,tibetan_terrier
n02120079,279,arctic_fox
n02095314,188,wire-haired_fox_terrier
n02088238,161,basset
n02408429,346,water_buffalo
n02133161,295,american_black_bear
n02328150,332,angora
n02410509,347,bison
n02492660,379,howler_monkey
n02398521,344,hippopotamus
n02112137,260,chow
n02510455,388,giant_panda
n02093428,180,american_staffordshire_terrier
n02105855,230,shetland_sheepdog
n02111500,257,great_pyrenees
n02085620,151,chihuahua
n02123045,281,tabby
n02490219,377,marmoset
n02099712,208,labrador_retriever
n02109525,247,saint_bernard
n02454379,363,armadillo
n02111889,258,samoyed
n02088632,164,bluetick
n02090379,168,redbone
n02443114,358,polecat
n02361337,336,marmot
n02105412,227,kelpie
n02483362,368,gibbon
n02437616,355,llama
n02107312,237,miniature_pinscher
n02325366,330,wood_rabbit
n02091032,171,italian_greyhound
n02129165,291,lion
